"glytoucan_ac","glycan_type","glycan_type_source","glycan_type_source_id","glycan_subtype","glycan_subtype_source","glycan_subtype_source_id"
"G76100HQ","O-linked","Subsumption","G07078LK","Core 1","Subsumption","G07078LK"
"G22196LK","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G27946NT","N-linked","GlycoMotif","GGM.001001","","",""
"G71280GW","N-linked","GlycoMotif","GGM.001022","Truncated","GlycoMotif","GGM.001022"
"G67583XR","O-linked","Subsumption","G10031LH","Core 2","Subsumption","G10031LH"
"G91636VS","N-linked","Subsumption","G00826SV","Bisected","Subsumption","G00826SV"
"G91636VS","N-linked","Subsumption","G00826SV","Core-fucosylated","Subsumption","G00025YC"
"G91636VS","N-linked","Subsumption","G00826SV","Truncated","Subsumption","G66554NB"
"G91636VS","N-linked","Subsumption","G00826SV","Complex","Subsumption","G00025YC"
"G91636VS","N-linked","Subsumption","G00826SV","Hybrid","Subsumption","G01755WL"
"G91636VS","Glycosphingolipid","Subsumption","G58941UN","Neo-lacto series","Subsumption","G47446VC"
"G91636VS","Glycosphingolipid","Subsumption","G58941UN","Lacto series","Subsumption","G58941UN"
"G79026TT","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G79026TT","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G33734YD","N-linked","GlycoMotif","GGM.001024","Core-fucosylated","GlycoMotif","GGM.001024"
"G30001EY","Glycosphingolipid","Subsumption","G29966WK","Ganglio series","Subsumption","G29966WK"
"G48472LJ","O-linked","GlycoMotif","GGM.001007","Core 2","GlycoMotif","GGM.001007"
"G64828QT","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G64828QT","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G96934US","O-linked","Subsumption","G08465VN","Core 1","Subsumption","G08465VN"
"G09173AD","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G59345UT","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G59345UT","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G89621BX","N-linked","Subsumption","G02173JB","Truncated","Subsumption","G02173JB"
"G24634JN","N-linked","Subsumption","G03984TW","Bisected","Subsumption","G03984TW"
"G24634JN","N-linked","Subsumption","G03984TW","Core-fucosylated","Subsumption","G03089XS"
"G24634JN","N-linked","Subsumption","G03984TW","Complex","Subsumption","G03089XS"
"G17218WW","O-linked","GlycoMotif","GGM.001008","Core 2","GlycoMotif","GGM.001008"
"G59456VR","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G59456VR","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G23193VZ","N-linked","Subsumption","G08027ZQ","Core-fucosylated","Subsumption","G08027ZQ"
"G23193VZ","N-linked","Subsumption","G08027ZQ","Complex","Subsumption","G08027ZQ"
"G12417OE","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G76504RH","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G39632CM","Glycosphingolipid","Subsumption","G04676YO","Neo-lacto series","Subsumption","G12611ZS"
"G39632CM","Glycosphingolipid","Subsumption","G04676YO","Lacto series","Subsumption","G04676YO"
"G70321JY","Glycosphingolipid","Subsumption","G31651JD","Neo-lacto series","Subsumption","G01200BW"
